prompt,completion
"Navigating through family relationships. EX: Marriage, kids and extended family:",Marriage
My husband's drinking which affects my marriage and my kids:,Marriage
Marriage - staying connected through stressful times of raising kids and career picking up. Difficult to not feel like living separate lives.:,Marriage
"My husband is supposed to be the spiritual leader of our family, but I feel he doesn’t prioritize God first:",Marriage
Marriage:,Marriage
What category does this statement belong to? :Getting spouse to church and in renewed relationship with the Lord:,Marriage
Marriage (Bible Questions):,Finances
Finances:,Finances
Financial:,Finances
Money:,Finances
Finding a better paying job to be able to pay my bills:,Finances
I make decent money but we got behind and just can’t seem to catch up and it’s always a fight Betty wife and I:,Finances
Making ends meet:,Finances
Healthy:,Health
Obesity:,Health
Lose weight:,Health
Sick all the time:,Health
Worried about death and dying:,Health
I’m depressed all the time:,Health
Anxiety/Anxious:,Health
Heaven / Hell:,End Times
Revelation:,End Times
Are we in the End Times now?:,End Times
Will the Rapture Trumpet be heard by everyone or only by Believers?:,End Times
Rapture:,End Times
Dispensational period:,End Times
Tribulation / pre-trib pos-trib mid-trib?:,End Times
What does premillennialism mean?:,End Times
Premillennial:,End Times
Difference between Catholic and Baptist:,Denominational Differences
Why are Religions different:,Denominational Differences
Why are there so many different kinds of churches:,Denominational Differences
Why do people think charismatic churches are bad?:,Denominational Differences
What are there so many different denominations?:,Denominational Differences
Denominational differences:,Denominational Differences
How to study the Bible:,Discipleship
How to be a better christian:,Discipleship
How to get stronger in my faith:,Discipleship
How do I help my friend grow in their faith:,Discipleship
