prompt,completion
"Navigating through family relationships. EX: Marriage, kids and extended family",Marriage\\n
My husband's drinking which affects my marriage and my kids,Marriage\\n
Marriage - staying connected through stressful times of raising kids and career picking up. Difficult to not feel like living separate lives.,Marriage\\n
"My husband is supposed to be the spiritual leader of our family, but I feel he doesn’t prioritize God first",Marriage\\n
Marriage,Marriage\\n
Getting spouse to church and in renewed relationship with the Lord,Marriage\\n
Finances,Finances\\n
Financial,Finances\\n
Money,Finances\\n
Finding a better paying job to be able to pay my bills,Finances\\n
I make decent money but we got behind and just can’t seem to catch up and it’s always a fight Betty wife and I,Finances\\n
Making ends meet,Finances\\n
Healthy,Health\\n
Obesity,Health\\n
Lose weight,Health\\n
Sick all the time,Health\\n
Worried about death and dying,Health\\n
I’m depressed all the time,Health\\n
Anxiety/Anxious,Health\\n
Heaven / Hell,End Times\\n
Revelation,End Times\\n
Are we in the End Times now?,End Times\\n
Will the Rapture Trumpet be heard by everyone or only by Believers?,End Times\\n
Rapture,End Times\\n
Dispensational period,End Times\\n
Tribulation / pre-trib pos-trib mid-trib?,End Times\\n
What does premillennialism mean?,End Times\\n
Premillennial,End Times\\n
Difference between Catholic and Baptist,Denominational Differences\\n
Why are Religions different,Denominational Differences\\n
Why are there so many different kinds of churches,Denominational Differences\\n
Why do people think charismatic churches are bad?,Denominational Differences\\n
What are there so many different denominations?,Denominational Differences\\n
Denominational differences,Denominational Differences\\n
How to study the Bible,Discipleship\\n
How to be a better christian,Discipleship\\n
How to get stronger in my faith,Discipleship\\n
How do I help my friend grow in their faith,Discipleship\\n
